month,capitulator,resister
1994-10,0.01747479231140446,0.006623491632571851
1994-11,-0.041405646674300856,-0.03724794894019103
1994-12,0.010069742843726083,0.010700536596834044
1995-01,0.012856922252921245,0.007933858801303892
1995-02,0.037710498617033184,0.031700675177832385
1995-03,0.027025654306829655,0.022193892867063015
1995-04,0.021851666916024103,0.01817281536867682
1995-05,0.03248077646219037,0.023959952856683762
1995-06,0.02953180465519774,0.02787354868902652
1995-07,0.035147937280268333,0.0371635284929253
1995-08,0.006914047450128105,0.010343807655154427
1995-09,0.03019832254875075,0.023918678588677057
1995-10,-0.006913482579542339,-0.019064953061200984
1995-11,0.03625234295069663,0.03699968398640445
1995-12,0.011746783223563716,0.017169705275967583
1996-01,0.024168835792527685,0.01909223408715734
1996-02,0.01164755805504256,0.014804553812805944
1996-03,0.009117949969003227,0.012077059941634894
1996-04,0.012730049475509165,0.02283523574739684
1996-05,0.016976597357163954,0.02052400411540827
1996-06,-0.0004210132833097012,-0.007594293000909447
1996-07,-0.04159380887450316,-0.04753295336560332
1996-08,0.02470906746062696,0.031609927988265805
1996-09,0.0469319640913939,0.039892648490345066
1996-10,0.013517991319231183,0.01243968362065315
1996-11,0.057895292576873904,0.04893025527185102
1996-12,-0.015045826214382446,-0.005025494686498057
1997-01,0.04275349890275377,0.03262047314129282
1997-02,-0.002500028770666497,7.223220729770882e-05
1997-03,-0.03683543487773142,-0.03882490160145804
1997-04,0.03793254537220324,0.019818304405124047
1997-05,0.05461618267710395,0.05977183645956437
1997-06,0.033547376299170234,0.031500653899775674
1997-07,0.06843154043535139,0.05534561439264916
1997-08,-0.03719844433856778,-0.02493185202371737
1997-09,0.046588401168156504,0.04999332817276788
1997-10,-0.030907897249697117,-0.03343899844225487
1997-11,0.022514929059311684,0.010850788897866816
1997-12,0.011967653883925664,0.016972815765405776
1998-01,0.004269137917844692,0.0022975436105494404
1998-02,0.0597565046751614,0.05501356814192214
1998-03,0.03993237097836949,0.042207604613687125
1998-04,0.006803020030169341,0.007516741974666176
1998-05,-0.01699758273068948,-0.024811240447295588
1998-06,0.02594084155581707,0.00872835148210209
1998-07,-0.014865777742581193,-0.02301447248105509
1998-08,-0.12977315096929512,-0.1337791322010089
1998-09,0.05027765370781571,0.05405660446391768
1998-10,0.05821672267069498,0.05040883698290464
1998-11,0.05094375055597354,0.0424215974139065
1998-12,0.05546039286874489,0.04155014274847952
1999-01,0.02906038287219361,0.01398787610803513
1999-02,-0.03202945734664929,-0.032679694318099486
1999-03,0.03434906276193356,0.028531305658897214
1999-04,0.031871810429938065,0.051000907338499185
1999-05,-0.02061621623210901,-0.015593093041178303
1999-06,0.04613628532089146,0.040532843062171364
1999-07,-0.02463452773027264,-0.016025340549019253
1999-08,-0.009651727889193832,-0.013212339995282952
1999-09,-0.01835822354521152,-0.009256043907678535
1999-10,0.04648943957646952,0.02740114834323573
1999-11,0.023897596570150764,0.02986924080780895
1999-12,0.05944292712200267,0.06300722551772675
2000-01,-0.03807300290486102,-0.03543634405038981
2000-02,0.009250034293534036,0.02101156264485185
2000-03,0.067108188530542,0.049193569082684525
2000-04,-0.03108079283192793,-0.03192014688269784
2000-05,-0.02534486936125723,-0.013113114601996661
2000-06,0.02770412569279811,0.02354649144336592
2000-07,-0.011524712137980815,-0.01095722705045132
2000-08,0.06321859004015781,0.057447352484060216
2000-09,-0.04325182619148585,-0.02942378192311475
2000-10,-0.012365229514200016,-0.01400835760473985
2000-11,-0.0753349161091322,-0.05711656690355326
2000-12,0.02005010838355701,0.04776705924065387
2001-01,0.02292143260155384,0.02914169992797445
2001-02,-0.07963769775027732,-0.05111561976220747
2001-03,-0.0592932839883173,-0.04770851815029336
2001-04,0.07375204736024425,0.06273759245019263
2001-05,0.002831891088305698,0.012980938667256938
2001-06,-0.025461804387200672,-0.013417355832534207
2001-07,-0.015552308456915877,-0.014067772973217875
2001-08,-0.05580431340529691,-0.03259828411553362
2001-09,-0.0839516398540692,-0.08877273395712651
2001-10,0.028436717967541447,0.023417192606430492
2001-11,0.06880297035312796,0.05916023428349741
2001-12,0.012203605987728862,0.02620615537273926
2002-01,-0.017885993863691982,-0.008480172160880288
2002-02,-0.022713097099792953,-0.005501265767974019
2002-03,0.03929999232099835,0.049313802448896896
2002-04,-0.04570426863267449,-0.01514968239523465
2002-05,-0.013235508041979859,-0.005871156403135534
2002-06,-0.06839071088659891,-0.056285384493694655
2002-07,-0.07732879345173914,-0.08699759142807703
2002-08,0.001356890078874102,0.008696346776318581
2002-09,-0.08975509281948342,-0.07996789542896096
2002-10,0.07192878333708946,0.04238833188191854
2002-11,0.051882994341869174,0.05719891958942196
2002-12,-0.06344565784576885,-0.03534592738212811
2003-01,-0.02209526590010881,-0.01956701777292935
2003-02,-0.010995316694234215,-0.019456529659067277
2003-03,0.011035413749270495,0.004796971408065915
2003-04,0.07630474256771037,0.07544201110894563
2003-05,0.05920769362553058,0.08012711355451246
2003-06,0.008561120515864412,0.018089629018367564
2003-07,0.027764058466155803,0.03770162473609828
2003-08,0.027832816618262986,0.042379633273848076
2003-09,-0.01748482607242952,-0.014605262563267902
2003-10,0.0616501038980841,0.07509188401366801
2003-11,0.01130031490700049,0.02221938136777783
2003-12,0.03155643204309419,0.022331155401632993
2004-01,0.02157730774144892,0.02963536925970022
2004-02,0.009352282046545231,0.006710236947713195
2004-03,-0.010058530020840195,-0.003125763718411504
2004-04,-0.030382896117853102,-0.04096209837150471
2004-05,0.01778251236082944,0.017180600289544948
2004-06,0.01834062140035286,0.022804108033872908
2004-07,-0.02186605344134768,-0.061926517741905295
2004-08,-0.007557884956170038,-0.013820037335320097
2004-09,0.023033214748166744,0.040480555121046126
2004-10,0.01583539269186288,0.02242102268829835
2004-11,0.04814980304571333,0.059107989180672955
2004-12,0.03400359734090407,0.03700545734704383
2005-01,-0.026879335701819523,-0.029587797260572028
2005-02,0.01840482941764202,0.018551969579791747
2005-03,-0.01883483121814581,-0.02226416455673327
2005-04,-0.026324417375550836,-0.038328155889749776
2005-05,0.03814393650411609,0.04658698704573882
2005-06,0.009233337163719938,0.021007083834483985
2005-07,0.03897096654197432,0.04739922670225807
2005-08,-0.00443300083759103,-0.004440428115262068
2005-09,0.010243251593387898,0.012072573470301945
2005-10,-0.02055859258143462,-0.024539093497819284
2005-11,0.03587617117958112,0.03844083044162928
2005-12,0.005493290011716932,0.006966913502866988
2006-01,0.037891387140091964,0.05192667011845024
2006-02,-0.0050731346988319125,-0.002823750649034069
2006-03,0.016598967563955756,0.025998832302487705
2006-04,0.010957098893674421,0.01002357857118791
2006-05,-0.03410195302356322,-0.037030798212228676
2006-06,-0.0007034641502252571,-0.0028260972068163107
2006-07,-0.0028380790711354455,-0.01573105449331832
2006-08,0.019820918247370294,0.019715613836419052
2006-09,0.016942812801037183,0.013813367393045227
2006-10,0.030899565729572014,0.034304762624393685
2006-11,0.024022646753780127,0.024186557568093323
2006-12,0.009978164286219934,0.007390314808837824
2007-01,0.01634197993806419,0.016835504185226783
2007-02,-0.01053930404690649,-0.0037122568997528566
2007-03,0.01195212381091547,0.00989208207679024
2007-04,0.035715302690115275,0.02990005752054765
2007-05,0.03493595898531348,0.033069227729978216
2007-06,-0.014254436315238796,-0.010002388028231184
2007-07,-0.02881995522253909,-0.033686755864518074
2007-08,0.011081977494780109,0.00745749867075322
