K,closed_form_bps,sim_random_bps,sim_momentum_bps,formula_error_bps,momentum_excess_bps
2,27.893,27.885,25.199,0.008,-2.685
3,40.402,40.354,37.296,0.048,-3.057
4,48.211,48.4,45.177,-0.189,-3.223
5,53.756,53.7,50.836,0.056,-2.864
6,57.989,58.156,55.535,-0.167,-2.621
8,64.175,64.153,62.37,0.022,-1.783
10,68.588,68.679,67.109,-0.09,-1.57
12,71.957,71.99,71.163,-0.034,-0.827
15,75.79,75.803,75.623,-0.013,-0.18
20,80.241,80.135,80.613,0.106,0.479
25,83.276,83.421,84.582,-0.145,1.161
