timeline,"All spells (n=6,496)"
0.0,1.0
1.0,0.9969211822660109
2.0,0.9900234777082085
3.0,0.9847773275613821
4.0,0.9773010344581226
5.0,0.969071131010054
6.0,0.9599592896233443
7.0,0.9492708076233627
8.0,0.9324992385840805
9.0,0.917562179842459
10.0,0.9054358074216339
11.0,0.892407954077438
12.0,0.8725766662090502
13.0,0.8654243984532383
14.0,0.8566234723672729
15.0,0.8415949903959167
16.0,0.8273306685247998
17.0,0.8211101371825078
18.0,0.783786949128757
19.0,0.783786949128757
20.0,0.783786949128757
21.0,0.7671106310621879
22.0,0.7438648543633337
23.0,0.7438648543633337
24.0,0.7438648543633337
25.0,0.7438648543633337
26.0,0.7438648543633337
27.0,0.7438648543633337
28.0,0.7438648543633337
29.0,0.7438648543633337
30.0,0.7438648543633337
31.0,0.7438648543633337
32.0,0.7438648543633337
41.0,0.7438648543633337
