covariate,coef,exp(coef),se(coef),p
as0,-14.400785446159164,5.569527410339692e-07,0.8902594571172212,7.45486242351957e-59
rel0,-0.12539452978344204,0.8821487999456751,0.8607268560752895,0.8841704872603536
flow0,-0.9971178363041474,0.36894125937314165,0.555456749799089,0.07263277175057627
ln_tna,0.024612859911684288,1.02491825676401,0.035375163780287065,0.48657496530775557
exp_ratio,1.231866419328379,3.427620947894719,14.50523577473621,0.9323205083162146
tenure_yrs,-0.08250464906217746,0.9208071569571273,0.019322001237549246,1.954864042561763e-05
era_9509,-0.6026338785395235,0.547368034873175,0.25187024808920344,0.016727817260375977
era_1023,-1.6715451089020155,0.18795642801306284,0.258542430786814,1.0112200843873403e-10
