month,share_funds,n,share_tna,share_funds_official,n_official
1979-06-30,0.0,2,0.0,,
1979-09-30,0.0,3,0.0,,
1979-12-31,0.017391304347826087,115,0.009450044605403336,,
1980-03-31,0.016018306636155607,437,0.012769470189929905,0.024390243902439025,82.0
1980-06-30,0.009881422924901186,506,0.00951730888945997,0.013793103448275862,145.0
1980-09-30,0.008032128514056224,498,0.008418569171174962,0.006896551724137931,145.0
1980-12-31,0.010351966873706004,483,0.008906583840678628,0.006756756756756757,148.0
1981-03-31,0.011976047904191617,501,0.009920162763157856,0.013793103448275862,145.0
1981-06-30,0.013806706114398421,507,0.018553506642038056,0.02,150.0
1981-09-30,0.0136986301369863,511,0.01946050547369538,0.02666666666666667,150.0
1981-12-31,0.01694915254237288,354,0.02804852503455582,0.015748031496062992,127.0
1982-03-31,0.013774104683195593,363,0.011079978620160138,0.023076923076923078,130.0
1982-06-30,0.017045454545454544,352,0.009230601434086612,0.023809523809523808,126.0
1982-09-30,0.01182033096926714,423,0.010594487376425588,0.008064516129032258,124.0
1982-12-31,0.015521064301552107,451,0.014866952184605485,0.016666666666666666,120.0
1983-03-31,0.015706806282722512,382,0.011654078392348976,0.016129032258064516,124.0
1983-06-30,0.015655577299412915,511,0.02457826077699663,0.012903225806451613,155.0
1983-09-30,0.015317286652078774,457,0.029416124785339032,0.01282051282051282,156.0
1983-12-31,0.011406844106463879,526,0.011685590953121872,0.013157894736842105,152.0
1984-03-31,0.013461538461538462,520,0.01445188297573314,0.012578616352201259,159.0
1984-06-30,0.011111111111111112,540,0.015221399003389856,0.012048192771084338,166.0
1984-09-30,0.011450381679389313,524,0.014896633721857956,0.012578616352201259,159.0
1984-12-31,0.00676818950930626,591,0.011094628383543293,0.011560693641618497,173.0
1985-03-31,0.009074410163339383,551,0.009491319556677433,0.011764705882352941,170.0
1985-06-30,0.005110732538330494,587,0.00750049015507611,0.005,200.0
1985-09-30,0.007407407407407408,540,0.005916218250813518,0.00546448087431694,183.0
1985-12-31,0.00473186119873817,634,0.007075133701527321,0.004830917874396135,207.0
1986-03-31,0.006756756756756757,592,0.005666827876682183,0.0049261083743842365,203.0
1986-06-30,0.004739336492890996,633,0.004782812785289651,0.0,225.0
1986-09-30,0.006711409395973154,596,0.005997556855045818,0.004807692307692308,208.0
1986-12-31,0.006033182503770739,663,0.006041106937473788,0.0,214.0
1987-03-31,0.00980392156862745,612,0.013669073640851247,0.013636363636363636,220.0
1987-06-30,0.01608187134502924,684,0.08256790829653475,0.012295081967213115,244.0
1987-09-30,0.018518518518518517,594,0.10275119769056866,0.022727272727272728,220.0
1987-12-31,0.0199468085106383,752,0.10031744076305515,0.020242914979757085,247.0
1988-03-31,0.01906158357771261,682,0.09560991930218986,0.021551724137931036,232.0
1988-06-30,0.01761006289308176,795,0.07720941179180818,0.018867924528301886,265.0
1988-09-30,0.017595307917888565,682,0.08289025427643519,0.024390243902439025,246.0
1988-12-31,0.024079320113314446,706,0.04073180462557758,0.015267175572519083,262.0
1989-03-31,0.019769357495881382,607,0.11693436702580422,0.03056768558951965,229.0
1989-06-30,0.02194787379972565,729,0.05384567434912002,0.01818181818181818,275.0
1989-09-30,0.02190923317683881,639,0.12484738894292188,0.024,250.0
1989-12-31,0.025220680958385876,793,0.056637114616334194,0.02127659574468085,282.0
1990-03-31,0.02861230329041488,699,0.1353680485585476,0.03345724907063197,269.0
1990-06-30,0.029556650246305417,812,0.07601496959253208,0.033846153846153845,325.0
1990-09-30,0.02796271637816245,751,0.07260748444834982,0.03496503496503497,286.0
1990-12-31,0.029531568228105907,982,0.0710649511786919,0.028037383177570093,321.0
1991-03-31,0.027809965237543453,863,0.0731493635418507,0.034482758620689655,319.0
1991-06-30,0.030541871921182268,1015,0.07201294161826145,0.02601156069364162,346.0
1991-09-30,0.02823018458197611,921,0.08654547801717774,0.03597122302158273,278.0
1991-12-31,0.02831858407079646,1130,0.08903950360551027,0.035422343324250684,367.0
1992-03-31,0.028047464940668825,927,0.07438865748466345,0.02727272727272727,330.0
1992-06-30,0.033304867634500426,1171,0.08392523252106492,0.04207920792079208,404.0
1992-09-30,0.032908704883227176,942,0.07420668036534518,0.03111111111111111,225.0
1992-12-31,0.04410441044104411,1111,0.08952391718732239,0.0390625,256.0
1993-03-31,0.034026465028355386,1058,0.0609615824349065,0.021108179419525065,379.0
1993-06-30,0.04003021148036254,1324,0.061431156377550276,0.025423728813559324,472.0
1993-09-30,0.03424657534246575,1022,0.09206682486222349,0.01818181818181818,385.0
1993-12-31,0.03934871099050204,1474,0.121763666098813,0.01867219917012448,482.0
1994-03-31,0.03415154749199573,937,0.05886960620348002,0.020172910662824207,347.0
1994-06-30,0.04136690647482014,1668,0.13262378633417674,0.021153846153846155,520.0
1994-09-30,0.037642045454545456,1408,0.11041346915636104,0.03412073490813648,381.0
1994-12-31,0.03707012058954891,2239,0.14138710108702723,0.022429906542056073,535.0
1995-03-31,0.04736440030557677,1309,0.14298491211142725,0.04065040650406504,369.0
1995-06-30,0.05004508566275924,2218,0.15959661290530924,0.031932773109243695,595.0
1995-09-30,0.04188144329896907,1552,0.17636193639569717,0.050359712230215826,417.0
1995-12-31,0.037103263299061245,2237,0.16495135719979973,0.027923211169284468,573.0
1996-03-31,0.042583392476934,1409,0.20603250826700245,0.04580152671755725,393.0
1996-06-30,0.039077037588388534,2687,0.13269985925155023,0.03153153153153153,666.0
1996-09-30,0.03512506652474721,1879,0.21852930338791862,0.050880626223091974,511.0
1996-12-31,0.04273192111029949,2738,0.1974559811787394,0.03305785123966942,726.0
1997-03-31,0.05470804839558127,1901,0.24491158924973833,0.06814310051107325,587.0
1997-06-30,0.05711318795430945,2889,0.19606812190422548,0.045454545454545456,814.0
