rule,hold_years,hold_year,n_funds,period_return_pct,wealth_10k
R2_cheapest_decile_fee,1,2024,261,12.856,186713.667
R2_cheapest_decile_fee,1,2025,251,14.932,214594.002
R2_cheapest_decile_fee,1,2026,234,11.098,238410.473
R2_cheapest_decile_fee,3,1993,4,56.454,15645.382
R2_cheapest_decile_fee,3,1996,116,48.97,23306.95
R2_cheapest_decile_fee,3,1999,156,67.813,39112.158
R2_cheapest_decile_fee,3,2002,238,-21.594,30666.396
R2_cheapest_decile_fee,3,2005,277,53.791,47162.019
R2_cheapest_decile_fee,3,2008,275,-20.992,37261.876
R2_cheapest_decile_fee,3,2011,291,48.476,55324.82
R2_cheapest_decile_fee,3,2014,265,52.648,84452.197
R2_cheapest_decile_fee,3,2017,276,27.309,107515.604
R2_cheapest_decile_fee,3,2020,298,32.007,141928.367
R2_cheapest_decile_fee,3,2023,272,18.745,168533.412
R2_cheapest_decile_fee,3,2026,261,44.348,243273.897
R2_cheapest_decile_fee,5,1995,4,100.996,20099.63
R2_cheapest_decile_fee,5,2000,147,98.207,39838.905
R2_cheapest_decile_fee,5,2005,251,19.042,47425.165
R2_cheapest_decile_fee,5,2010,275,19.09,56478.765
R2_cheapest_decile_fee,5,2015,272,50.884,85217.585
R2_cheapest_decile_fee,5,2020,290,69.698,144612.536
R2_cheapest_decile_fee,5,2025,272,56.006,225604.205
R2_cheapest_decile_fee,5,2030,234,11.098,250642.631
R3_whole_universe,1,1991,26,25.034,12503.417
R3_whole_universe,1,1992,759,7.342,13421.464
R3_whole_universe,1,1993,996,15.541,15507.271
R3_whole_universe,1,1994,1114,-2.096,15182.279
R3_whole_universe,1,1995,1269,27.675,19384.044
R3_whole_universe,1,1996,1394,17.479,22772.249
R3_whole_universe,1,1997,1489,20.206,27373.697
R3_whole_universe,1,1998,1248,12.473,30787.89
R3_whole_universe,1,1999,2028,24.535,38341.554
R3_whole_universe,1,2000,2312,1.055,38746.237
R3_whole_universe,1,2001,2425,-9.322,35134.223
R3_whole_universe,1,2002,2629,-20.445,27951.028
R3_whole_universe,1,2003,2703,32.196,36950.112
R3_whole_universe,1,2004,2663,12.265,41481.89
R3_whole_universe,1,2005,2671,7.486,44587.424
R3_whole_universe,1,2006,2687,13.075,50417.139
R3_whole_universe,1,2007,2741,6.68,53784.952
R3_whole_universe,1,2008,2891,-37.104,33828.548
R3_whole_universe,1,2009,2816,31.531,44495.146
R3_whole_universe,1,2010,2676,17.421,52246.856
R3_whole_universe,1,2011,2615,-2.612,50882.063
R3_whole_universe,1,2012,2557,13.782,57894.688
R3_whole_universe,1,2013,2562,26.735,73372.853
R3_whole_universe,1,2014,2564,6.97,78486.698
R3_whole_universe,1,2015,2667,-2.472,76546.507
R3_whole_universe,1,2016,2788,10.164,84326.98
R3_whole_universe,1,2017,2859,16.865,98548.906
R3_whole_universe,1,2018,2874,-7.87,90792.847
R3_whole_universe,1,2019,2819,24.088,112663.289
R3_whole_universe,1,2020,2754,15.038,129605.176
R3_whole_universe,1,2021,2629,18.941,154153.322
R3_whole_universe,1,2022,2597,-16.493,128728.155
R3_whole_universe,1,2023,2576,17.404,151131.635
R3_whole_universe,1,2024,2512,14.193,172582.31
R3_whole_universe,1,2025,2419,13.883,196542.107
R3_whole_universe,1,2026,2265,11.43,219007.722
R3_whole_universe,3,1993,26,55.318,15531.776
R3_whole_universe,3,1996,1114,46.015,22678.717
R3_whole_universe,3,1999,1489,65.006,37421.161
