timeline,manager,clients
0.0,1.0,1.0
1.0,0.9982188295165403,0.9026463104325707
2.0,0.996238101083015,0.8329367188744253
3.0,0.9937050153601178,0.7779822911090998
4.0,0.9908817223910104,0.734739792882179
5.0,0.9885043670109946,0.6903854221832554
6.0,0.9864607962581675,0.6563791763347382
7.0,0.984323286407121,0.6188565520576776
8.0,0.979597454442204,0.5891123705742738
9.0,0.9768947024219764,0.5626587878391017
10.0,0.9749115625469823,0.539395390163904
11.0,0.9728537017289413,0.510252700837513
12.0,0.9728537017289413,0.4875603952094153
13.0,0.9728537017289413,0.46632792638577947
14.0,0.9719191640711802,0.4495401210358915
15.0,0.9707703234517111,0.4383016180099944
16.0,0.9707703234517111,0.42473190847408115
17.0,0.9707703234517111,0.3958821939362192
18.0,0.9707703234517111,0.3793103811667963
19.0,0.9640599295108001,0.3707865523765313
20.0,0.9640599295108001,0.362897476794052
21.0,0.9608356488100948,0.3566941011223588
22.0,0.9569613115165057,0.349262974015643
23.0,0.9523825492604457,0.3404208734076521
24.0,0.9468774478196333,0.330105089364996
25.0,0.9404796272262576,0.330105089364996
26.0,0.9404796272262576,0.3227694207124405
27.0,0.9404796272262576,0.3227694207124405
28.0,0.9404796272262576,0.30050946066330664
29.0,0.9404796272262576,0.28283243356546506
30.0,0.9404796272262576,0.28283243356546506
31.0,0.9404796272262576,0.2626301168822176
32.0,0.9404796272262576,
33.0,0.9404796272262576,0.23344899278419334
34.0,0.9404796272262576,0.23344899278419334
35.0,0.9404796272262576,
37.0,0.9404796272262576,
38.0,0.9404796272262576,
39.0,0.9404796272262576,0.23344899278419334
40.0,0.9404796272262576,0.11672449639209666
41.0,0.9404796272262576,0.11672449639209666
45.0,0.9404796272262576,
46.0,0.9404796272262576,
47.0,0.9404796272262576,
48.0,0.9404796272262576,
