timeline,1980-94,1995-2009,2010-23
0.0,1.0,1.0,1.0
1.0,0.9990900818926298,0.9969293756397146,0.9986739075524126
2.0,0.9918151541118575,0.991753210657162,0.9969435533852954
3.0,0.9803985767983395,0.9849345708878529,0.9952183864056992
4.0,0.9702390060543153,0.9777483529886712,0.99364811057907
5.0,0.9615761577859734,0.9693864244964049,0.992849358078604
6.0,0.9615761577859734,0.9641746695259942,0.9919061826276108
7.0,0.9466910779440854,0.9515941023348933,0.9905742541260961
8.0,0.936054099540219,0.935465388735997,0.9884337575385475
9.0,0.9319122672413681,0.9257714468838114,0.9867891090235082
10.0,0.9086144605603342,0.9123544693927417,0.9854544077939902
11.0,0.8829473854032627,0.8980379227974201,0.9824861716259363
12.0,0.8663921219269515,0.8843535354024119,0.9824861716259363
13.0,0.8403352160043364,0.880142328090972,0.9824861716259363
14.0,0.8017877290316604,0.8750548001829311,0.9814159252516157
15.0,0.782231930762595,0.8687367149830547,0.9787883056391616
16.0,0.7605032660191898,0.8687367149830547,0.9787883056391616
17.0,0.7469228505545613,0.8687367149830547,0.9787883056391616
18.0,0.6535574942352411,0.862301628205402,0.9787883056391616
19.0,0.6354031193953733,0.862301628205402,0.971316639183901
20.0,0.6354031193953733,0.862301628205402,0.9681732196396158
21.0,0.58652595636496,0.862301628205402,0.9644637437022988
22.0,0.58652595636496,0.862301628205402,0.9555746769400651
23.0,0.58652595636496,0.862301628205402,0.9502362709236402
24.0,0.58652595636496,0.862301628205402,0.9439013624508161
25.0,0.5278733607284639,0.862301628205402,0.9365271330566693
26.0,,0.862301628205402,0.9365271330566693
27.0,0.5278733607284639,0.862301628205402,0.9252436736222515
28.0,0.5278733607284639,0.862301628205402,0.9252436736222515
29.0,0.5278733607284639,,0.9252436736222515
30.0,0.5278733607284639,0.862301628205402,0.9252436736222515
31.0,,0.862301628205402,0.9252436736222515
32.0,0.5278733607284639,0.862301628205402,0.9252436736222515
33.0,,0.862301628205402,0.9252436736222515
34.0,,0.862301628205402,0.9252436736222515
35.0,,0.862301628205402,0.9252436736222515
37.0,,,0.9252436736222515
38.0,,,0.9252436736222515
39.0,,,0.9252436736222515
40.0,,0.862301628205402,0.9252436736222515
41.0,,,0.9252436736222515
42.0,0.5278733607284639,,
45.0,,0.862301628205402,
46.0,,,0.9252436736222515
47.0,,0.862301628205402,
48.0,,0.862301628205402,0.9252436736222515
