timeline,"All spells (n=25,728)"
0.0,1.0
1.0,0.9980954601990042
2.0,0.9949091600591594
3.0,0.9910029356366423
4.0,0.9872108325666046
5.0,0.9838571751700793
6.0,0.9818076974452429
7.0,0.9769329141916914
8.0,0.9708136458955864
9.0,0.9668321818659392
10.0,0.9607074531120375
11.0,0.9527583370697393
12.0,0.9474891858843355
13.0,0.9440227620335397
14.0,0.9385222652409192
15.0,0.9334308243806605
16.0,0.9314125955711886
17.0,0.9301982375587099
18.0,0.9200716626552717
19.0,0.9132563170059731
20.0,0.9111373928365858
21.0,0.9036894032493653
22.0,0.8977440782279877
23.0,0.8941241424286813
24.0,0.889804702127094
25.0,0.8796355055313556
26.0,0.8796355055313556
27.0,0.8718511205266528
28.0,0.8718511205266528
29.0,0.8718511205266528
30.0,0.8718511205266528
31.0,0.8718511205266528
32.0,0.8718511205266528
33.0,0.8718511205266528
34.0,0.8718511205266528
35.0,0.8718511205266528
37.0,0.8718511205266528
38.0,0.8718511205266528
39.0,0.8718511205266528
40.0,0.8718511205266528
41.0,0.8718511205266528
42.0,0.8718511205266528
45.0,0.8718511205266528
46.0,0.8718511205266528
47.0,0.8718511205266528
48.0,0.8718511205266528
